,layer,pos,prob
0,0,0,2.240994945168495e-09
1,0,1,1.8408172763884068e-09
2,0,2,4.249159246683121e-09
3,0,3,6.7229848355054855e-09
4,0,4,1.9063008949160576e-09
5,0,5,2.153683453798294e-09
6,0,6,2.255546860396862e-09
7,0,7,2.2992026060819626e-09
8,1,0,2.240994945168495e-09
9,1,1,1.8044374883174896e-09
10,1,2,3.2014213502407074e-09
11,1,3,6.373738870024681e-09
12,1,4,1.2732925824820995e-09
13,1,5,2.2846506908535957e-09
14,1,6,2.2846506908535957e-09
15,1,7,2.5174813345074654e-09
16,2,0,2.240994945168495e-09
17,2,1,2.371962182223797e-09
18,2,2,3.2159732654690742e-09
19,2,3,5.617039278149605e-09
20,2,4,2.6921043172478676e-09
21,2,5,2.4301698431372643e-09
22,2,6,2.2264430299401283e-09
23,2,7,1.7462298274040222e-09
24,3,0,2.240994945168495e-09
25,3,1,2.4010660126805305e-09
26,3,2,1.9936123862862587e-09
27,3,3,6.199115887284279e-09
28,3,4,3.623426891863346e-09
29,3,5,1.7462298274040222e-09
30,3,6,1.9208528101444244e-09
31,3,7,2.459273673593998e-09
32,4,0,2.240994945168495e-09
33,4,1,2.2846506908535957e-09
34,4,2,2.1973391994833946e-09
35,4,3,4.598405212163925e-09
36,4,4,3.292370820418e-10
37,4,5,2.5029294192790985e-09
38,4,6,1.964508555829525e-09
39,4,7,1.6952981241047382e-09
40,5,0,2.240994945168495e-09
41,5,1,2.35741026699543e-09
42,5,2,1.8917489796876907e-09
43,5,3,3.65253072232008e-09
44,5,4,3.346940502524376e-10
45,5,5,1.724401954561472e-09
46,5,6,2.168235369026661e-09
47,5,7,2.051820047199726e-09
48,6,0,2.240994945168495e-09
49,6,1,2.066371962428093e-09
50,6,2,2.6047928258776665e-09
51,6,3,3.3760443329811096e-09
52,6,4,5.420588422566652e-10
53,6,5,1.4915713109076023e-09
54,6,6,1.7898855730891228e-09
55,6,7,2.444721758365631e-09
56,7,0,2.240994945168495e-09
57,7,1,2.5902409106492996e-09
58,7,2,2.735760062932968e-09
59,7,3,4.249159246683121e-09
60,7,4,5.347828846424818e-10
61,7,5,1.5643308870494366e-09
62,7,6,2.08092387765646e-09
63,7,7,1.6298145055770874e-09
64,8,0,2.240994945168495e-09
65,8,1,1.8917489796876907e-09
66,8,2,2.6921043172478676e-09
67,8,3,3.754394128918648e-09
68,8,4,1.1132215149700642e-09
69,8,5,2.08092387765646e-09
70,8,6,2.5756889954209328e-09
71,8,7,1.3387762010097504e-09
72,9,0,2.240994945168495e-09
73,9,1,1.8189894035458565e-09
74,9,2,1.979060471057892e-09
75,9,3,3.259629011154175e-09
76,9,4,4.2928149923682213e-10
77,9,5,1.3023964129388332e-09
78,9,6,2.0227162167429924e-09
79,9,7,1.7025740817189217e-09
80,10,0,2.240994945168495e-09
81,10,1,1.4988472685217857e-09
82,10,2,1.7171259969472885e-09
83,10,3,2.7939677238464355e-09
84,10,4,6.948539521545172e-10
85,10,5,1.2951204553246498e-09
86,10,6,2.6921043172478676e-09
87,10,7,1.4915713109076023e-09
88,11,0,2.240994945168495e-09
89,11,1,2.270098775625229e-09
90,11,2,1.811713445931673e-09
91,11,3,3.0704541131854057e-09
92,11,4,7.166818249970675e-10
93,11,5,7.639755494892597e-10
94,11,6,2.561137080192566e-09
95,11,7,1.7316779121756554e-09
96,12,0,2.240994945168495e-09
97,12,1,1.5934347175061703e-09
98,12,2,1.964508555829525e-09
99,12,3,2.8230715543031693e-09
100,12,4,1.4915713109076023e-09
101,12,5,6.730260793119669e-10
102,12,6,1.6298145055770874e-09
103,12,7,1.2514647096395493e-09
104,13,0,2.240994945168495e-09
105,13,1,1.3023964129388332e-09
106,13,2,1.7025740817189217e-09
107,13,3,2.0227162167429924e-09
108,13,4,2.3283064365386963e-09
109,13,5,6.111804395914078e-10
110,13,6,1.3751559890806675e-09
111,13,7,9.022187441587448e-10
112,14,0,2.240994945168495e-09
113,14,1,1.3096723705530167e-09
114,14,2,2.051820047199726e-09
115,14,3,2.0372681319713593e-09
116,14,4,2.2846506908535957e-09
117,14,5,6.875779945403337e-10
118,14,6,1.1568772606551647e-09
119,14,7,1.1714291758835316e-09
120,15,0,2.240994945168495e-09
121,15,1,1.5279510989785194e-09
122,15,2,2.051820047199726e-09
123,15,3,1.6370904631912708e-09
124,15,4,4.5693013817071915e-09
125,15,5,1.1641532182693481e-09
126,15,6,2.0372681319713593e-09
127,15,7,8.11269273981452e-10
128,16,0,2.240994945168495e-09
129,16,1,2.1391315385699272e-09
130,16,2,3.0850060284137726e-09
131,16,3,1.7389538697898388e-09
132,16,4,1.3387762010097504e-09
133,16,5,1.4260876923799515e-09
134,16,6,2.1100277081131935e-09
135,16,7,1.2150849215686321e-09
136,17,0,2.240994945168495e-09
137,17,1,2.0227162167429924e-09
138,17,2,2.6047928258776665e-09
139,17,3,2.1391315385699272e-09
140,17,4,1.6298145055770874e-09
141,17,5,1.367880031466484e-09
142,17,6,1.7898855730891228e-09
143,17,7,9.89530235528946e-10
144,18,0,2.240994945168495e-09
145,18,1,2.4156179279088974e-09
146,18,2,2.5029294192790985e-09
147,18,3,1.6661942936480045e-09
148,18,4,2.459273673593998e-09
149,18,5,1.3897079043090343e-09
150,18,6,1.8335413187742233e-09
151,18,7,1.1204974725842476e-09
152,19,0,2.240994945168495e-09
153,19,1,2.459273673593998e-09
154,19,2,3.026798367500305e-09
155,19,3,2.1100277081131935e-09
156,19,4,1.8917489796876907e-09
157,19,5,1.7680577002465725e-09
158,19,6,1.9208528101444244e-09
159,19,7,8.985807653516531e-10
160,20,0,2.240994945168495e-09
161,20,1,1.5788828022778034e-09
162,20,2,2.735760062932968e-09
163,20,3,1.5133991837501526e-09
164,20,4,1.877197064459324e-09
165,20,5,1.7971615307033062e-09
166,20,6,1.7025740817189217e-09
167,20,7,7.130438461899757e-10
168,21,0,2.240994945168495e-09
169,21,1,2.5029294192790985e-09
170,21,2,2.8085196390748024e-09
171,21,3,1.6589183360338211e-09
172,21,4,2.3283064365386963e-09
173,21,5,2.255546860396862e-09
174,21,6,1.5279510989785194e-09
175,21,7,5.602487362921238e-10
176,22,0,2.240994945168495e-09
177,22,1,1.8553691916167736e-09
178,22,2,2.6338966563344e-09
179,22,3,1.862645149230957e-09
180,22,4,2.255546860396862e-09
181,22,5,2.5174813345074654e-09
182,22,6,2.0081643015146255e-09
183,22,7,5.638867150992155e-10
184,23,0,2.240994945168495e-09
185,23,1,2.5029294192790985e-09
186,23,2,2.6193447411060333e-09
187,23,3,1.5570549294352531e-09
188,23,4,1.964508555829525e-09
189,23,5,2.444721758365631e-09
190,23,6,1.6370904631912708e-09
191,23,7,3.41970007866621e-10
192,24,0,2.240994945168495e-09
193,24,1,2.6921043172478676e-09
194,24,2,2.6193447411060333e-09
195,24,3,2.5029294192790985e-09
196,24,4,1.6952981241047382e-09
197,24,5,1.7389538697898388e-09
198,24,6,1.2951204553246498e-09
199,24,7,4.420144250616431e-10
200,25,0,2.240994945168495e-09
201,25,1,2.240994945168495e-09
202,25,2,2.240994945168495e-09
203,25,3,2.240994945168495e-09
204,25,4,2.240994945168495e-09
205,25,5,2.240994945168495e-09
206,25,6,2.240994945168495e-09
207,25,7,1.6552803572267294e-10
