,layer,pos,prob
136,17,0,2.240994945168495e-09
137,17,1,2.35741026699543e-09
138,17,2,3.332388587296009e-09
139,17,3,2.5902409106492996e-09
140,17,4,3.754394128918648e-09
141,17,5,1.1059455573558807e-09
142,17,6,1.5352270565927029e-09
143,17,7,9.204086381942034e-10
144,18,0,2.240994945168495e-09
145,18,1,2.3865140974521637e-09
146,18,2,2.066371962428093e-09
147,18,3,1.5861587598919868e-09
148,18,4,3.332388587296009e-09
149,18,5,1.9063008949160576e-09
150,18,6,2.2846506908535957e-09
151,18,7,1.1859810911118984e-09
152,19,0,2.240994945168495e-09
153,19,1,2.4010660126805305e-09
154,19,2,2.1827872842550278e-09
155,19,3,2.0081643015146255e-09
156,19,4,2.735760062932968e-09
157,19,5,2.2846506908535957e-09
158,19,6,1.7826096154749393e-09
159,19,7,7.203198038041592e-10
160,20,0,2.240994945168495e-09
161,20,1,2.270098775625229e-09
162,20,2,2.0372681319713593e-09
163,20,3,1.7316779121756554e-09
164,20,4,2.4883775040507317e-09
165,20,5,2.5902409106492996e-09
166,20,6,2.270098775625229e-09
167,20,7,5.602487362921238e-10
168,21,0,2.240994945168495e-09
169,21,1,2.5029294192790985e-09
170,21,2,2.7939677238464355e-09
171,21,3,1.6007106751203537e-09
172,21,4,2.1245796233415604e-09
173,21,5,2.051820047199726e-09
174,21,6,2.561137080192566e-09
175,21,7,3.41970007866621e-10
176,22,0,2.240994945168495e-09
177,22,1,2.4010660126805305e-09
178,22,2,2.444721758365631e-09
179,22,3,2.1391315385699272e-09
180,22,4,2.4301698431372643e-09
181,22,5,2.2118911147117615e-09
182,22,6,2.648448571562767e-09
183,22,7,1.5916157281026244e-10
184,23,0,2.240994945168495e-09
185,23,1,2.270098775625229e-09
186,23,2,2.2118911147117615e-09
187,23,3,1.709850039333105e-09
188,23,4,2.444721758365631e-09
189,23,5,2.1391315385699272e-09
190,23,6,1.724401954561472e-09
191,23,7,2.5647750589996576e-10
192,24,0,2.240994945168495e-09
193,24,1,2.4301698431372643e-09
194,24,2,2.342858351767063e-09
195,24,3,2.6047928258776665e-09
196,24,4,2.153683453798294e-09
197,24,5,2.663000486791134e-09
198,24,6,2.2992026060819626e-09
199,24,7,4.765752237290144e-10
200,25,0,2.240994945168495e-09
201,25,1,2.342858351767063e-09
202,25,2,2.2846506908535957e-09
203,25,3,2.0081643015146255e-09
204,25,4,2.2992026060819626e-09
205,25,5,2.735760062932968e-09
206,25,6,1.724401954561472e-09
207,25,7,5.238689482212067e-10
